model	task	template	fewshot	seed	postproc	timestamp	filename	comet
opt	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.newline-cut.tsv	-0.9841	
opt	flores_101_mt	xglm-English-French-source+target	0	1234		2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.tsv	-1.4381	
opt	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.newline-cut-custom-truncate.tsv	-1.6384	
opt	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.newline-cut.tsv	-1.6411	
opt	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.tsv	-1.6989	
opt	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.newline-cut-custom-truncate.tsv	0.6887	
opt	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.newline-cut.tsv	0.6928	
opt	flores_101_mt	xglm-French-English-source+target	0	1234		2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.tsv	-1.0078	
opt	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.newline-cut-custom-truncate.tsv	-1.1656	
opt	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.newline-cut.tsv	-1.1650	
opt	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.tsv	-1.4932	
t0pp	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut-custom-truncate.tsv	-0.6258	
t0pp	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut.tsv	-0.6258	
t0pp	flores_101_mt	xglm-English-French-source+target	0	1234		2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.tsv	-0.6258	
t0pp	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut-custom-truncate.tsv	-1.8378	
t0pp	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut.tsv	-1.8378	
t0pp	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.tsv	-1.8378	
t0pp	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_31_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.newline-cut-custom-truncate.tsv	0.5328	
t0pp	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-01-08T22_31_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.newline-cut.tsv	0.5328	
t0pp	flores_101_mt	xglm-French-English-source+target	0	1234		2023-01-08T22_31_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.tsv	0.5328	
t0pp	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_29_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.newline-cut-custom-truncate.tsv	-1.3985	
t0pp	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-01-08T22_29_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.newline-cut.tsv	-1.3985	
t0pp	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-01-08T22_29_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.tsv	-1.3985	
t0	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_13_04	examples.model=t0.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_04.newline-cut-custom-truncate.tsv	-0.6832	
t0	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-02-06T17_13_04	examples.model=t0.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_04.newline-cut.tsv	-0.6821	
t0	flores_101_mt	xglm-English-French-source+target	0	1234		2023-02-06T17_13_04	examples.model=t0.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_04.tsv	-0.6821	
t0	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_13_28	examples.model=t0.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_28.newline-cut-custom-truncate.tsv	-1.8486	
t0	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-02-06T17_13_28	examples.model=t0.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_28.newline-cut.tsv	-1.8484	
t0	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-02-06T17_13_28	examples.model=t0.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_28.tsv	-1.8484	
t0	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_12_42	examples.model=t0.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_12_42.newline-cut-custom-truncate.tsv	0.4989	
t0	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-02-06T17_12_42	examples.model=t0.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_12_42.newline-cut.tsv	0.4989	
t0	flores_101_mt	xglm-French-English-source+target	0	1234		2023-02-06T17_12_42	examples.model=t0.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_12_42.tsv	0.4989	
t0	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_13_41	examples.model=t0.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_41.newline-cut-custom-truncate.tsv	-1.3913	
t0	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-02-06T17_13_41	examples.model=t0.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_41.newline-cut.tsv	-1.3913	
t0	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-02-06T17_13_41	examples.model=t0.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_41.tsv	-1.3913	
