model	task	template	fewshot	seed	postproc	timestamp	filename	spBLEU
bloom	flores_101_mt	translate-this-fra-eng	0.batchsize=8	1234	/scratch/rbawden/mt-bigscience/outputs/flores-101/0-shot/tsv/examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.batchsize=8.seed=1234.timestamp=2022-09-15T17_34_13.txt	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.batchsize=8.seed=1234.timestamp=2022-09-15T17_34_13.txt	0.11	
bloom	flores_101_mt	translate-this-fra-eng	0	1234	newline-cut-custom-truncate	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut-custom-truncate.tsv	0.10	
bloom	flores_101_mt	translate-this-fra-eng	0	1234	newline-cut	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut.tsv	0.10	
bloom	flores_101_mt	translate-this-fra-eng	0	1234		2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-fra-eng.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.tsv	0.11	
opt	flores_101_mt	flores-xglm-English-French	0	1234	newline-cut-custom-truncate	2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.newline-cut-custom-truncate.tsv	21.40	
opt	flores_101_mt	flores-xglm-English-French	0	1234	newline-cut	2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.newline-cut.tsv	4.79	
opt	flores_101_mt	flores-xglm-English-French	0	1234		2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.tsv	2.76	
opt	flores_101_mt	flores-xglm-English-Hindi	0	1234	newline-cut-custom-truncate	2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.newline-cut-custom-truncate.tsv	0.12	
opt	flores_101_mt	flores-xglm-English-Hindi	0	1234	newline-cut	2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.newline-cut.tsv	0.12	
opt	flores_101_mt	flores-xglm-English-Hindi	0	1234		2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.tsv	0.07	
opt	flores_101_mt	flores-xglm-French-English	0	1234	newline-cut-custom-truncate	2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.newline-cut-custom-truncate.tsv	39.41	
opt	flores_101_mt	flores-xglm-French-English	0	1234	newline-cut	2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.newline-cut.tsv	39.42	
opt	flores_101_mt	flores-xglm-French-English	0	1234		2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.tsv	2.59	
opt	flores_101_mt	flores-xglm-Hindi-English	0	1234	newline-cut-custom-truncate	2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.newline-cut-custom-truncate.tsv	0.23	
opt	flores_101_mt	flores-xglm-Hindi-English	0	1234	newline-cut	2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.newline-cut.tsv	0.23	
opt	flores_101_mt	flores-xglm-Hindi-English	0	1234		2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.tsv	0.10	
T0pp	flores_101_mt	flores-xglm-English-French	0	1234	newline-cut-custom-truncate	2023-01-08T22_30_03	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut-custom-truncate.tsv	1.89	
T0pp	flores_101_mt	flores-xglm-English-French	0	1234	newline-cut	2023-01-08T22_30_03	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut.tsv	1.89	
T0pp	flores_101_mt	flores-xglm-English-French	0	1234		2023-01-08T22_30_03	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-English-French.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.tsv	1.89	
T0pp	flores_101_mt	flores-xglm-English-Hindi	0	1234	newline-cut-custom-truncate	2023-01-08T22_30_03	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut-custom-truncate.tsv	0.19	
T0pp	flores_101_mt	flores-xglm-English-Hindi	0	1234	newline-cut	2023-01-08T22_30_03	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut.tsv	0.19	
T0pp	flores_101_mt	flores-xglm-English-Hindi	0	1234		2023-01-08T22_30_03	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-English-Hindi.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.tsv	0.19	
T0pp	flores_101_mt	flores-xglm-French-English	0	1234	newline-cut-custom-truncate	2023-01-08T22_31_15	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.newline-cut-custom-truncate.tsv	33.63	
T0pp	flores_101_mt	flores-xglm-French-English	0	1234	newline-cut	2023-01-08T22_31_15	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.newline-cut.tsv	33.64	
T0pp	flores_101_mt	flores-xglm-French-English	0	1234		2023-01-08T22_31_15	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-French-English.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.tsv	33.64	
T0pp	flores_101_mt	flores-xglm-Hindi-English	0	1234	newline-cut-custom-truncate	2023-01-08T22_29_15	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.newline-cut-custom-truncate.tsv	0.00	
T0pp	flores_101_mt	flores-xglm-Hindi-English	0	1234	newline-cut	2023-01-08T22_29_15	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.newline-cut.tsv	0.00	
T0pp	flores_101_mt	flores-xglm-Hindi-English	0	1234		2023-01-08T22_29_15	examples.model=T0pp.task=flores_101_mt.templates=flores-xglm-Hindi-English.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.tsv	0.00	
bloom	flores_101_mt	translate-this-French-English-source+target	0	1234	newline-cut-custom-truncate	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-French-English-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut-custom-truncate.tsv	0.10	
bloom	flores_101_mt	translate-this-French-English-source+target	0	1234	newline-cut	2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-French-English-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.newline-cut.tsv	0.10	
bloom	flores_101_mt	translate-this-French-English-source+target	0	1234		2022-09-15T17_34_13	examples.model=bloom.task=flores_101_mt.templates=translate-this-French-English-source+target.fewshot=0.seed=1234.timestamp=2022-09-15T17_34_13.tsv	0.11	
bloom	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.newline-cut-custom-truncate.tsv	26.91	
bloom	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.newline-cut.tsv	4.56	
bloom	flores_101_mt	xglm-English-French-source+target	0	1234		2023-01-05T12_19_11	examples.model=bloom.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_11.tsv	2.77	
bloom	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut-custom-truncate.tsv	7.74	
bloom	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut.tsv	1.65	
bloom	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.tsv	1.29	
bloom	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.newline-cut-custom-truncate.tsv	40.28	
bloom	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.newline-cut.tsv	8.84	
bloom	flores_101_mt	xglm-French-English-source+target	0	1234		2023-01-05T12_18_55	examples.model=bloom.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_18_55.tsv	2.73	
bloom	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut-custom-truncate.tsv	30.19	
bloom	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.newline-cut.tsv	16.33	
bloom	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-01-05T12_19_48	examples.model=bloom.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-05T12_19_48.tsv	3.40	
mt0-xxl	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-02-08T23_53_50	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_53_50.newline-cut-custom-truncate.tsv	55.34	
mt0-xxl	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-02-08T23_53_50	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_53_50.newline-cut.tsv	55.45	
mt0-xxl	flores_101_mt	xglm-English-French-source+target	0	1234		2023-02-08T23_53_50	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_53_50.tsv	55.45	
mt0-xxl	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-02-08T22_56_33	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T22_56_33.newline-cut-custom-truncate.tsv	67.69	
mt0-xxl	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-02-08T22_56_33	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T22_56_33.newline-cut.tsv	67.69	
mt0-xxl	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-02-08T22_56_33	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T22_56_33.tsv	67.69	
mt0-xxl	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_31_06	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_31_06.newline-cut-custom-truncate.tsv	0.00	
mt0-xxl	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-02-06T17_31_06	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_31_06.newline-cut.tsv	0.00	
mt0-xxl	flores_101_mt	xglm-French-English-source+target	0	1234		2023-02-06T17_31_06	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_31_06.tsv	0.00	
mt0-xxl	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-08T23_25_49	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_25_49.newline-cut-custom-truncate.tsv	59.55	
mt0-xxl	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-02-08T23_25_49	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_25_49.newline-cut.tsv	59.55	
mt0-xxl	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-02-08T23_25_49	examples.model=mt0-xxl.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-08T23_25_49.tsv	59.55	
opt	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.newline-cut-custom-truncate.tsv	21.40	
opt	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.newline-cut.tsv	4.79	
opt	flores_101_mt	xglm-English-French-source+target	0	1234		2023-01-15T20_46_29	examples.model=opt.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_46_29.tsv	2.76	
opt	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.newline-cut-custom-truncate.tsv	0.12	
opt	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.newline-cut.tsv	0.12	
opt	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-01-15T21_37_39	examples.model=opt.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T21_37_39.tsv	0.07	
opt	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.newline-cut-custom-truncate.tsv	39.41	
opt	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.newline-cut.tsv	39.42	
opt	flores_101_mt	xglm-French-English-source+target	0	1234		2023-01-15T20_33_09	examples.model=opt.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T20_33_09.tsv	2.59	
opt	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.newline-cut-custom-truncate.tsv	0.23	
opt	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.newline-cut.tsv	0.23	
opt	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-01-15T22_33_00	examples.model=opt.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-15T22_33_00.tsv	0.10	
t0pp	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut-custom-truncate.tsv	1.89	
t0pp	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut.tsv	1.89	
t0pp	flores_101_mt	xglm-English-French-source+target	0	1234		2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.tsv	1.89	
t0pp	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut-custom-truncate.tsv	0.19	
t0pp	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.newline-cut.tsv	0.19	
t0pp	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-01-08T22_30_03	examples.model=t0pp.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_30_03.tsv	0.19	
t0pp	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_31_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.newline-cut-custom-truncate.tsv	33.63	
t0pp	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-01-08T22_31_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.newline-cut.tsv	33.64	
t0pp	flores_101_mt	xglm-French-English-source+target	0	1234		2023-01-08T22_31_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_31_15.tsv	33.64	
t0pp	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-01-08T22_29_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.newline-cut-custom-truncate.tsv	0.00	
t0pp	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut	2023-01-08T22_29_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.newline-cut.tsv	0.00	
t0pp	flores_101_mt	xglm-Hindi-English-source+target	0	1234		2023-01-08T22_29_15	examples.model=t0pp.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-01-08T22_29_15.tsv	0.00	
t0	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_13_04	examples.model=t0.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_04.newline-cut-custom-truncate.tsv	1.85	
t0	flores_101_mt	xglm-English-French-source+target	0	1234	newline-cut	2023-02-06T17_13_04	examples.model=t0.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_04.newline-cut.tsv	1.86	
t0	flores_101_mt	xglm-English-French-source+target	0	1234		2023-02-06T17_13_04	examples.model=t0.task=flores_101_mt.templates=xglm-English-French-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_04.tsv	1.86	
t0	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_13_28	examples.model=t0.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_28.newline-cut-custom-truncate.tsv	0.15	
t0	flores_101_mt	xglm-English-Hindi-source+target	0	1234	newline-cut	2023-02-06T17_13_28	examples.model=t0.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_28.newline-cut.tsv	0.15	
t0	flores_101_mt	xglm-English-Hindi-source+target	0	1234		2023-02-06T17_13_28	examples.model=t0.task=flores_101_mt.templates=xglm-English-Hindi-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_28.tsv	0.15	
t0	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_12_42	examples.model=t0.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_12_42.newline-cut-custom-truncate.tsv	31.90	
t0	flores_101_mt	xglm-French-English-source+target	0	1234	newline-cut	2023-02-06T17_12_42	examples.model=t0.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_12_42.newline-cut.tsv	31.90	
t0	flores_101_mt	xglm-French-English-source+target	0	1234		2023-02-06T17_12_42	examples.model=t0.task=flores_101_mt.templates=xglm-French-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_12_42.tsv	31.90	
t0	flores_101_mt	xglm-Hindi-English-source+target	0	1234	newline-cut-custom-truncate	2023-02-06T17_13_41	examples.model=t0.task=flores_101_mt.templates=xglm-Hindi-English-source+target.fewshot=0.seed=1234.timestamp=2023-02-06T17_13_41.newline-cut-custom-truncate.tsv	0.00	
